[2024-04-09 23:50:58,843: INFO: main: Welcome to custom log.]
[2024-04-10 16:11:27,340: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-10 16:11:27,350: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-10 16:11:27,353: INFO: common: created directory at: artifacts]
[2024-04-10 16:11:27,355: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-10 16:11:27,357: INFO: 3172177572: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-10 16:11:50,888: INFO: 3172177572: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-10 19:59:39,439: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-04-10 19:59:39,443: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-10 19:59:39,446: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-10 19:59:39,448: INFO: common: created directory at: artifacts]
[2024-04-10 19:59:39,449: INFO: common: created directory at: artifacts/data_ingestion]
[2024-04-10 19:59:39,450: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-10 20:03:14,596: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-04-10 20:03:15,959: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-04-10 22:17:41,652: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-04-10 22:17:41,668: INFO: common: yaml file: params.yaml loaded successfully]
[2024-04-10 22:17:41,671: INFO: common: created directory at: artifacts]
[2024-04-10 22:17:41,674: INFO: common: created directory at: artifacts/prepare_base_model]
